date;letter_code;rate;open;min;max
2020-01-01;JPY;0.57;0.41;0.23;1.39
2020-01-02;JPY;0.57;0.76;0.43;0.75
2020-01-03;JPY;0.57;0.99;0.56;0.58
2020-01-04;JPY;0.57;0.45;0.26;1.27
2020-01-05;JPY;0.57;0.91;0.52;0.63
2020-01-06;JPY;0.57;0.01;0.01;57.0
2020-01-07;JPY;0.57;0.87;0.5;0.66
2020-01-08;JPY;0.57;0.76;0.43;0.75
2020-01-09;JPY;0.57;0.0;0.0;inf
2020-01-10;JPY;0.56;0.2;0.11;2.8
2020-01-11;JPY;0.56;0.71;0.4;0.79
2020-01-12;JPY;0.56;0.86;0.48;0.65
2020-01-13;JPY;0.56;0.32;0.18;1.75
2020-01-14;JPY;0.56;0.06;0.03;9.33
2020-01-15;JPY;0.56;0.34;0.19;1.65
2020-01-16;JPY;0.56;0.76;0.43;0.74
2020-01-17;JPY;0.56;0.49;0.27;1.14
2020-01-18;JPY;0.56;0.46;0.26;1.22
2020-01-19;JPY;0.56;0.07;0.04;8.0
2020-01-20;JPY;0.56;0.16;0.09;3.5
2020-01-21;JPY;0.56;0.38;0.21;1.47
2020-01-22;JPY;0.56;0.26;0.15;2.15
2020-01-23;JPY;0.56;0.04;0.02;14.0
2020-01-24;JPY;0.57;0.27;0.15;2.11
2020-01-25;JPY;0.56;0.9;0.5;0.62
2020-01-26;JPY;0.56;0.53;0.3;1.06
2020-01-27;JPY;0.56;0.98;0.55;0.57
2020-01-28;JPY;0.57;0.91;0.52;0.63
2020-01-29;JPY;0.58;0.62;0.36;0.94
2020-01-30;JPY;0.57;0.86;0.49;0.66
2020-01-31;JPY;0.58;0.83;0.48;0.7
2020-02-01;JPY;0.58;0.02;0.01;29.0
2020-02-02;JPY;0.58;0.38;0.22;1.53
2020-02-03;JPY;0.58;0.72;0.42;0.81
2020-02-04;JPY;0.59;0.58;0.34;1.02
2020-02-05;JPY;0.58;0.6;0.35;0.97
2020-02-06;JPY;0.58;0.07;0.04;8.29
2020-02-07;JPY;0.57;0.02;0.01;28.5
2020-02-08;JPY;0.58;0.23;0.13;2.52
2020-02-09;JPY;0.58;0.02;0.01;29.0
2020-02-10;JPY;0.58;0.27;0.16;2.15
2020-02-11;JPY;0.58;0.35;0.2;1.66
2020-02-12;JPY;0.58;0.48;0.28;1.21
2020-02-13;JPY;0.57;0.9;0.51;0.63
2020-02-14;JPY;0.58;0.69;0.4;0.84
2020-02-15;JPY;0.58;0.23;0.13;2.52
2020-02-16;JPY;0.58;0.8;0.46;0.72
2020-02-17;JPY;0.58;0.46;0.27;1.26
2020-02-18;JPY;0.58;0.5;0.29;1.16
2020-02-19;JPY;0.58;0.1;0.06;5.8
2020-02-20;JPY;0.58;0.16;0.09;3.62
2020-02-21;JPY;0.57;0.33;0.19;1.73
2020-02-22;JPY;0.58;0.94;0.55;0.62
2020-02-23;JPY;0.58;0.96;0.56;0.6
2020-02-24;JPY;0.58;0.32;0.19;1.81
2020-02-25;JPY;0.58;0.73;0.42;0.79
2020-02-26;JPY;0.59;0.33;0.19;1.79
2020-02-27;JPY;0.59;0.8;0.47;0.74
2020-02-28;JPY;0.6;0.05;0.03;12.0
2020-02-29;JPY;0.62;0.65;0.4;0.95
2020-03-01;JPY;0.62;0.37;0.23;1.68
2020-03-02;JPY;0.62;0.91;0.56;0.68
2020-03-03;JPY;0.61;0.78;0.48;0.78
2020-03-04;JPY;0.62;0.89;0.55;0.7
2020-03-05;JPY;0.62;0.65;0.4;0.95
2020-03-06;JPY;0.62;0.43;0.27;1.44
2020-03-07;JPY;0.64;0.38;0.24;1.68
2020-03-08;JPY;0.64;0.02;0.01;32.0
2020-03-09;JPY;0.64;0.03;0.02;21.33
2020-03-10;JPY;0.64;0.56;0.36;1.14
2020-03-11;JPY;0.69;0.83;0.57;0.83
2020-03-12;JPY;0.68;0.75;0.51;0.91
2020-03-13;JPY;0.71;0.8;0.57;0.89
2020-03-14;JPY;0.69;0.51;0.35;1.35
2020-03-15;JPY;0.69;0.9;0.62;0.77
2020-03-16;JPY;0.69;0.86;0.59;0.8
2020-03-17;JPY;0.7;0.25;0.18;2.8
2020-03-18;JPY;0.69;0.68;0.47;1.01
2020-03-19;JPY;0.72;0.76;0.55;0.95
2020-03-20;JPY;0.74;0.55;0.41;1.35
2020-03-21;JPY;0.71;0.74;0.53;0.96
2020-03-22;JPY;0.71;0.72;0.51;0.99
2020-03-23;JPY;0.71;0.2;0.14;3.55
2020-03-24;JPY;0.73;1.0;0.73;0.73
2020-03-25;JPY;0.71;0.48;0.34;1.48
2020-03-26;JPY;0.7;0.67;0.47;1.04
2020-03-27;JPY;0.71;0.4;0.28;1.78
2020-03-28;JPY;0.71;0.76;0.54;0.93
2020-03-29;JPY;0.71;0.69;0.49;1.03
2020-03-30;JPY;0.71;0.65;0.46;1.09
2020-03-31;JPY;0.71;0.6;0.43;1.18
2020-04-01;JPY;0.71;0.08;0.06;8.88
2020-04-02;JPY;0.71;0.62;0.44;1.15
2020-04-03;JPY;0.71;0.06;0.04;11.83
2020-04-04;JPY;0.71;0.87;0.62;0.82
2020-04-05;JPY;0.71;0.8;0.57;0.89
2020-04-06;JPY;0.71;0.28;0.2;2.54
2020-04-07;JPY;0.7;0.83;0.58;0.84
2020-04-08;JPY;0.69;0.21;0.14;3.29
2020-04-09;JPY;0.7;0.54;0.38;1.3
2020-04-10;JPY;0.69;0.96;0.66;0.72
2020-04-11;JPY;0.68;0.32;0.22;2.12
2020-04-12;JPY;0.68;0.15;0.1;4.53
2020-04-13;JPY;0.68;0.75;0.51;0.91
2020-04-14;JPY;0.68;0.11;0.07;6.18
2020-04-15;JPY;0.68;0.05;0.03;13.6
2020-04-16;JPY;0.69;0.07;0.05;9.86
2020-04-17;JPY;0.69;0.58;0.4;1.19
2020-04-18;JPY;0.69;0.19;0.13;3.63
2020-04-19;JPY;0.69;1.0;0.69;0.69
2020-04-20;JPY;0.69;0.84;0.58;0.82
2020-04-21;JPY;0.69;0.36;0.25;1.92
2020-04-22;JPY;0.71;0.56;0.4;1.27
2020-04-23;JPY;0.72;0.68;0.49;1.06
2020-04-24;JPY;0.7;0.85;0.6;0.82
2020-04-25;JPY;0.69;0.49;0.34;1.41
2020-04-26;JPY;0.69;0.04;0.03;17.25
2020-04-27;JPY;0.69;0.52;0.36;1.33
2020-04-28;JPY;0.69;0.57;0.39;1.21
2020-04-29;JPY;0.7;0.04;0.03;17.5
2020-04-30;JPY;0.69;0.84;0.58;0.82
2020-05-01;JPY;0.68;0.45;0.31;1.51
2020-05-02;JPY;0.68;0.63;0.43;1.08
2020-05-03;JPY;0.68;0.64;0.44;1.06
2020-05-04;JPY;0.68;0.6;0.41;1.13
2020-05-05;JPY;0.68;0.34;0.23;2.0
2020-05-06;JPY;0.68;0.88;0.6;0.77
2020-05-07;JPY;0.7;0.5;0.35;1.4
2020-05-08;JPY;0.7;0.96;0.67;0.73
2020-05-09;JPY;0.69;0.33;0.23;2.09
2020-05-10;JPY;0.69;0.13;0.09;5.31
2020-05-11;JPY;0.69;0.45;0.31;1.53
2020-05-12;JPY;0.69;0.98;0.68;0.7
2020-05-13;JPY;0.68;0.16;0.11;4.25
2020-05-14;JPY;0.69;0.45;0.31;1.53
2020-05-15;JPY;0.69;0.43;0.3;1.6
2020-05-16;JPY;0.68;0.07;0.05;9.71
2020-05-17;JPY;0.68;0.54;0.37;1.26
2020-05-18;JPY;0.68;0.33;0.22;2.06
